Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,961.301422369963,1014.52467003618,1113.99915249896,1251.27771535816,1439.93214543391,1653.67913605181,1976.63130651455,2481.38704492063,3117.83131105355,3359.51721584875,4057.86521472833,4913.89394942906,5434.82527120289,5952.7689297214,6373.64846984799,6589.77076427462,6683.18386700353,7241.92533864361,8045.94630458507,8286.3981179292,8391.27634645494,9974.57829690175,10106.9935977814,10125.9095208645,10396.7957405051
East Asia & Pacific (excluding high income),EAP,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,972.833173916046,1026.6492096959,1127.25093374819,1266.10778867241,1456.96694694124,1673.19096529507,1999.86070779606,2510.42261993326,3154.16872851062,3398.52989667846,4104.80262362259,4970.50535493565,5497.15517271917,6020.72398510662,6446.1361235924,6664.48834577557,6758.74365728701,7323.51364847919,8136.37041895137,8379.36503263574,8485.32855185979,10086.4176067356,10220.4774431567,10239.8162178816,10513.9529323033
East Asia & Pacific (IDA & IBRD countries),TEA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,ECU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,1382.23421759909,1791.30359685037,2059.1585535974,2315.62215223014,2586.20914663347,2909.02606014388,3243.67010359339,3478.92488770671,4194.75750661981,4053.36331139298,4520.30959039763,5153.6916424375,5634.08393191094,6109.29031510341,6405.79979300441,5976.1596805651,5917.63771271481,6233.32244797718,6303.91886658338,6205.05765246766,5463.64515348598,6061.32350181711,6515.58528418336,6737.84748379638,6874.705739766
Ecuador,ECU,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,34.1,..,..,18.9,19.4,15.4,10.9,10.9,9.8,9.3,7.8,6.4,6,4.5,4,4.8,5,4.3,4.7,4.6,8.4,5.3,4.4,4.7,7.3
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.47205,3.973,4.49966666666666,5.850875,6.19624166666666,5.77883333333333,5.73316666666666,5.63543333333333,5.43249999999999,5.54455330862977,5.6219429176105,5.93282765151515,6.05605833333333,6.87032499999999,7.07760856060606,7.69125833333333,10.0254007885464,17.7825335150635,17.7672904218106,16.7705818428763,15.7591729166666,15.6445272777113,19.1604397412204,30.626413698031,45.29926
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,1366.09274372613,1295.1374184163,1116.82884626213,1031.27556291284,991.255689145253,1105.53920713903,1298.97900203124,1547.74170735909,1896.21594269779,2161.63964573927,2455.08194645282,2590.64384891965,2996.0677072015,3025.52563552448,3133.39102265541,3306.98159414141,3270.6287768197,2395.10333299491,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308,4233.30783744856,3456.78968456253,3338.47371395895
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,4.1,..,..,..,3.7,..,1.5,..,1.2,..,..,1.2,..,3.1,..,2,..,1.4,..,..,..
El Salvador,SLV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,1982.87093542615,2058.04459070452,2115.41187355626,2207.83089518069,2285.68907438892,2447.39140845394,2665.61807194853,2830.65693770733,2983.24829577976,2910.18651752011,3040.07300952878,3330.60049486653,3497.91256915509,3582.26694005169,3666.01248913873,3790.34089108162,3901.34014965811,4020.12671373919,4183.54620971358,4320.11671534627,3997.19279583709,4642.60743101342,5074.60210221806,5365.44491399171,5579.65969165029
El Salvador,SLV,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,18.4,19.4,19.5,20.9,16.3,16.4,12.6,9.2,12.6,12.4,11.4,10.1,8.5,7.1,7,5.3,5.8,4.6,4.1,3,..,5.1,5.2,4.6,..
